datapointID,sequence
train_00000,∇ ∫ Ω ∇ ∇ Ξ ∇
train_00001,Ξ Ξ ∇ Ω ∫
train_00002,∂ Ξ Ξ Φ Ω Ξ ∇ ∂ Φ ∂ Φ ∂ ∫
train_00003,∇ ∂ ∂ ∂ ∂ Ω ∂ Ω ∂ Ξ Ξ ∇ ∂ ∫
train_00004,Φ Ω Φ Ω ∫ Ω Ξ ∇ Ω Ω
train_00005,∂ Ξ ∇ ∇ Ξ ∂ Φ Φ Ω ∫ Ξ Ω ∫ ∇
train_00006,Φ ∂ Ξ ∇ ∇ Ξ ∫ Ω Ω Ω
train_00007,Ω ∂ Ω Ξ ∂ Ω ∇ ∫ Ω Φ Ω ∂ ∇ Ξ
train_00008,Ξ ∂ ∇ ∂ ∫ Ξ ∫
train_00009,Ω Ω ∫ Φ Φ
train_00010,Ξ ∇ Ξ Φ ∫ Ξ
train_00011,∂ Ξ Ξ Ξ ∫ Ξ Ω
train_00012,∇ ∂ Ξ ∇ Φ Ξ ∇
train_00013,∂ Ω ∇ ∫ Φ ∇ Φ ∫ ∂ ∂
train_00014,Ω Ω ∫ ∂ ∂ ∫ ∫ Φ Ω
train_00015,∫ Ξ ∇ Ω ∂ Ξ Ω ∇ ∇ ∂ Ξ ∫ ∂ ∫
train_00016,Ξ Φ ∂ ∫ Ξ Ω ∂ Ω Ξ
train_00017,∫ ∫ Ξ ∂ Ξ ∂ ∇
train_00018,∂ ∫ Ω ∫ ∂ Ξ ∂ ∇ ∂ Ξ ∂ ∂
train_00019,Ω ∂ ∇ Φ Ξ Φ ∇ Ξ Ω
train_00020,Ω Ω Ω ∂ Ξ
train_00021,Ξ ∇ ∇ ∇ ∫ Ξ ∂ ∇
train_00022,∂ Ω Φ ∫ ∂ Ω ∇ Ω Ξ
train_00023,Ω ∇ ∫ Ξ Ω Φ Ξ
train_00024,Ξ ∫ Ξ ∂ Ω Φ Ξ Φ ∇ Ω Φ Ξ
train_00025,∇ ∇ Ω ∇ Ω
train_00026,∇ ∫ ∇ ∂ ∂ ∫ Ω ∇ ∂ ∫
train_00027,Ξ Ξ ∫ ∂ ∇ Φ ∂ Ω Ξ Ξ ∫ ∇
train_00028,∇ ∫ ∇ Φ Φ Φ ∇ ∫ Φ Ω Ξ ∫ Ω Ξ
train_00029,∂ Ω ∇ ∇ Ξ ∫ Ω ∂ Ξ Φ
train_00030,∂ Φ Ω ∫ ∫ ∇ Φ Ω ∫ ∇ Φ
train_00031,∇ ∇ ∫ ∂ Ω ∇
train_00032,∇ ∇ ∫ ∂ ∇
train_00033,∂ ∇ Ω Ξ ∫
train_00034,Ξ Ξ Φ Φ Ω
train_00035,Ξ ∂ Φ Ξ Ω Ω ∂ Ξ Ξ
train_00036,∫ Ω Ω Ω Φ Φ ∫ Ω ∇ Φ Ω ∇ ∂
train_00037,∇ Φ Ξ ∫ Ω ∂ ∇ ∂ Ω ∇ ∫
train_00038,Ξ Ω ∂ Ξ Ξ
train_00039,∂ ∫ ∫ ∂ Ω Ω Ω Ξ ∂ ∇ Φ Ω
train_00040,∫ Φ ∇ ∫ ∂ ∇ ∫ Ξ ∫ Φ Ξ
train_00041,Ξ ∇ ∇ Φ ∫
train_00042,∫ Ξ ∇ ∇ Ω Φ Ω Ω Φ Ξ
train_00043,∇ ∂ ∇ Φ ∫ ∫ Ξ Ξ
train_00044,Φ ∂ Φ Ξ Φ Ω Φ Ω
train_00045,∇ Ξ ∂ ∇ ∂ Ω ∂ ∫ Φ ∂ Φ Φ
train_00046,Φ Ω Ω Ξ Ξ Φ Φ ∂ Ω
train_00047,∇ Φ ∫ Φ ∫ ∂ ∇
train_00048,Φ ∫ Ω ∂ Φ ∇ Φ ∫ ∂
train_00049,∇ ∫ ∇ Ξ Ξ ∂ ∫ Φ Ω
train_00050,Φ ∫ Ξ Φ Ω ∂ ∫ Ω ∫ Φ Ω Φ Ξ
train_00051,∫ ∇ ∫ Ξ Φ ∇ Φ Φ
train_00052,∫ ∫ Ξ Ξ Φ
train_00053,∇ ∂ Ω ∂ ∫
train_00054,Φ ∫ ∇ Ω Ξ ∂ Φ ∂ Ξ ∇
train_00055,Ω ∫ Ξ ∫ ∫
train_00056,∫ ∂ ∫ ∫ ∂ ∇ Ω ∇ ∂ Ξ Ξ ∇
train_00057,Ω Ω ∂ Ω ∫ ∂ Ξ Ξ Ξ ∂ ∫
train_00058,Ξ ∫ ∇ Ω Ξ Φ ∫ ∂
train_00059,Φ ∇ ∫ Ξ ∫ ∫ ∫ Φ
train_00060,Ω Ξ ∇ ∫ Φ ∂ ∇ ∇ ∂ ∂ ∇
train_00061,Ω Ω ∇ ∫ ∇ Φ ∂ ∫ Φ ∫ ∇
train_00062,∇ Ω Ξ Φ ∫
train_00063,Ξ ∂ Ξ Ω ∂ ∂ Φ Ξ
train_00064,Φ ∫ Ξ ∂ Ω Ξ ∫ Ξ ∂ Ω ∂ Ξ
train_00065,∫ Φ Ω ∂ ∫ ∫ Φ ∇ ∂ ∫
train_00066,∫ Φ ∇ ∫ Ξ Ω Ξ
train_00067,∫ ∂ Ξ ∫ ∇ ∇ ∫ ∂ ∂ ∂
train_00068,∇ ∂ ∇ ∂ Ξ ∂ ∫
train_00069,Φ Ξ ∫ Φ ∫ ∫ ∇ ∫ ∇
train_00070,Φ Ξ Ω ∂ Ω Φ Φ ∫ ∇ Ω
train_00071,∫ Ω ∫ ∇ ∂ Ξ ∇
train_00072,Ω ∇ ∂ Ω Ω
train_00073,∫ ∇ Ω Φ Φ ∫ ∇
train_00074,Φ Ω ∇ Φ Φ Ω ∂ ∫ Φ Ω Ω ∂ ∂
train_00075,∇ Φ Ω Φ ∇
train_00076,Ξ ∂ ∂ Ω Φ ∂ ∇ Φ Φ Ω
train_00077,∂ ∇ ∂ Φ ∂ ∂ Ξ ∇ ∇ ∇ Ω Ω
train_00078,Ω Ξ Φ ∫ Ξ Φ Φ ∫ ∂ ∂ Ξ Φ
train_00079,Φ ∇ Ξ Φ ∂ Φ Ξ Φ Ξ Φ Ω Ω ∫
train_00080,∂ ∇ Φ ∂ Ξ Φ ∫ ∂ Φ
train_00081,∂ Φ Ξ Ω Ξ ∇ ∇ ∇ Ω Ξ
train_00082,Ω Ξ Ω ∂ Ξ ∫ Ξ ∇ ∇
train_00083,∂ Ξ ∇ ∂ Φ Ξ Ξ Φ Ω Φ ∇
train_00084,Φ Ω Ω ∂ Ω Ξ Ξ ∂ Ξ ∇ Ξ Ξ ∂
train_00085,Ω Φ Ω Ω Ξ Ω ∇ ∂ ∂ Ω
train_00086,∂ Ω ∇ Ξ Ω ∫ ∇
train_00087,∫ Φ ∫ ∇ Φ Φ ∂
train_00088,∫ Φ Ω ∫ ∫ ∇
train_00089,Ω Ξ ∇ ∂ ∇ Φ ∇ ∂ Ω ∫ Ω Ξ
train_00090,Ξ Ξ ∂ ∇ ∇ ∇ Ω Ξ ∂ ∂ Φ ∫ ∫
train_00091,∇ Ω Φ Ω Ξ ∂ ∇
train_00092,∂ ∂ ∇ Φ Ξ ∫ ∫ Φ ∇
train_00093,∂ ∫ ∇ Ω Φ Ω Φ Ω Φ ∫ Ω Φ ∫
train_00094,Ξ ∫ ∫ Φ ∇
train_00095,Ω ∂ Ξ Φ ∫ ∂ Ξ ∫ Ξ ∂ ∂ ∇
train_00096,Ξ ∂ Ξ Φ Ξ
train_00097,Φ Ξ ∫ Ξ Ω Φ Ω ∫ ∫ ∇
train_00098,Φ ∂ ∫ Ω ∇ ∇ ∫
train_00099,∫ Ξ Ξ Ξ ∂
train_00100,Φ Ξ Ω Ω ∂ Φ ∇ Φ Φ
train_00101,∇ ∫ Φ ∂ Ω Ω ∂ ∇ Φ Ω ∂ ∇ Φ ∫
train_00102,Ξ Ω ∇ Φ Ω Ω ∂ ∇
train_00103,Ξ Φ Ξ Ξ ∫ ∇ Ω ∫ ∇ Ω ∇ ∫ Φ Ξ
train_00104,Ω ∫ ∂ Ξ ∂ ∫ ∫ Φ Ξ ∫ Φ
train_00105,∫ Ξ Ξ ∇ ∇ Ξ
train_00106,∫ ∂ ∇ ∇ Ω ∂ Φ
train_00107,Φ Φ ∇ ∫ ∂ ∇ Φ ∇ ∂ Ω ∂ Φ ∫ Φ
train_00108,Ξ Φ Φ Φ Φ ∂ Φ ∫ Φ
train_00109,Ξ ∫ ∫ ∫ ∫ ∫ ∫ Φ ∫ Ω
train_00110,∂ ∇ Φ ∫ Φ ∂ ∇ ∇
train_00111,∇ Ω ∫ Φ ∇ Φ Ω Ξ ∇
train_00112,Ξ ∇ ∇ Φ Ω ∇ ∂ ∫ ∇ ∂ ∫ ∫
train_00113,∂ Ω ∫ ∫ ∇ ∫ Φ Ξ Ω Ω Φ ∇
train_00114,Ω Ω Ω Ω Ω ∫ ∫ ∇
train_00115,∂ ∂ Ξ Ξ ∫ ∫ Φ Φ Φ ∇ Ξ
train_00116,∫ ∫ Ω ∇ ∂ Ξ Ω Ω Ξ Ω
train_00117,∇ Φ Ξ Φ Ξ ∂ Ω ∇ ∂
train_00118,∫ Ω ∇ Φ ∂
train_00119,∂ ∫ ∫ Ω Ω Φ Ξ ∫ ∂ ∂
train_00120,Φ Ω Φ ∫ Φ ∫ ∫ Ω ∂ Φ ∂ Ω
train_00121,Ξ ∇ ∇ Ω ∂ ∂ ∫
train_00122,Φ Ω Φ ∂ Φ Ξ ∫ ∂ Ω ∂ ∂ Ω Φ ∂
train_00123,∫ Φ ∫ ∂ Ξ ∂
train_00124,∇ Ξ Φ Ξ ∂
train_00125,∂ Ξ Ξ ∇ Φ ∇ ∇ ∫
train_00126,Ω ∂ ∫ ∇ Ξ ∂ ∂ Ω
train_00127,Ξ ∇ Φ Ω ∂ Φ Ξ ∫ Ξ Ω Ξ ∇ ∇ Ξ
train_00128,Ω ∫ ∇ Φ Φ ∫ Ξ Ξ Ξ Ξ Φ
train_00129,Φ ∫ Ξ ∫ Ω Ω ∂ Φ ∇ Φ Ξ ∂ ∇ Ξ
train_00130,∂ ∇ ∂ ∇ ∂ ∂ ∫ ∂ Ω
train_00131,Ω Ξ Φ ∂ ∫ Ω Ω ∂ ∫ ∂ ∇ Ω
train_00132,∫ ∇ Ω Ω Φ ∇ ∫ Ξ ∫ ∇ Φ ∫ Φ Φ
train_00133,Φ Φ Φ Ω ∫ Ω Φ ∂
train_00134,Φ Ξ ∂ Ξ Ξ ∂ Ξ ∫ ∫ Φ ∂ Φ Ω
train_00135,∇ Φ ∫ Φ Ξ Φ ∇ Ω ∂ Ξ Φ Ξ ∂ ∂
train_00136,∂ Φ Ω ∂ ∂ ∫ ∂ Ξ
train_00137,Φ Ξ ∫ Ω ∫ ∂ Ω Ω
train_00138,Ξ Ξ ∂ Φ Φ Φ Ω ∇ Φ Ω ∇ Ω ∂
train_00139,Ω Ω Φ Ξ ∂ Ξ
train_00140,Ξ ∫ ∂ Ω ∂ Φ Ω Ξ Ξ ∂ Ω ∇ Ξ Ω
train_00141,Φ Ξ ∂ Ξ Ω ∇ Φ ∫ ∫ ∫ Φ Ξ
train_00142,Φ ∇ Φ Ω ∂ Φ Φ ∫ ∇ ∇ Ξ ∂
train_00143,∇ Φ Φ Φ Φ Ξ ∂ ∫ Φ Φ
train_00144,Ω ∂ ∫ ∇ ∂ Φ ∫ Φ ∇ Φ ∂ ∇
train_00145,∫ Φ Ω ∂ Ξ ∫ ∫ ∇ Ξ
train_00146,Φ Ξ Ω Φ Φ Φ ∫ Ω Ξ ∫ ∇ Ξ Φ
train_00147,Ω ∇ ∇ Ω ∇ Φ
train_00148,∇ Ξ ∂ Φ Ξ ∂ Φ
train_00149,Ξ Φ ∂ Ξ Φ Φ
train_00150,∇ Ω ∫ Φ Φ Ξ Φ Ω Ξ Ω Φ ∫ ∫
train_00151,Ξ ∫ Ξ ∫ Φ ∇ ∫ ∇ Ω
train_00152,Ξ Ω Φ ∇ Ξ Ω Φ Ω ∇ ∫ ∂ ∂ ∂ ∇
train_00153,∇ ∇ Ξ ∇ ∇ ∂ Φ ∇ Ξ Ξ
train_00154,∇ ∂ ∫ ∇ Ξ Ω ∫ Ξ
train_00155,Ω Φ ∂ ∇ Φ ∂ Ω ∂ Ξ ∂ Ξ Ω Ξ
train_00156,∇ ∇ ∇ ∫ ∇ Φ
train_00157,∂ ∇ Ξ ∂ Ω Ξ Φ ∂ ∂ Ω Ω Ξ ∂
train_00158,∫ ∫ ∂ Φ ∇ ∂ ∇
train_00159,∂ Ξ Ω Φ ∂ ∂ ∫ ∇ ∫ Ω ∇
train_00160,Ω ∫ ∫ ∇ ∂ Φ Ω ∇ ∇
train_00161,Φ ∇ ∫ ∫ ∫ Ω ∫ ∫ Ω Φ ∂
train_00162,Ξ ∂ ∫ ∇ Φ Ξ Ω Ω Ξ Ω Ω Ξ ∫
train_00163,Ω Φ ∇ ∂ ∫ ∫ Ξ ∂ ∂ Ω
train_00164,Ω Φ ∂ Ω Ω ∇
train_00165,Ξ ∂ ∇ ∇ ∫ Ω ∇ ∇ ∂ Ω Ξ ∂ Ξ
train_00166,∇ ∇ ∫ ∇ ∫ Ξ ∂ ∫ ∫ ∫
train_00167,∇ ∂ ∂ Ω ∂ Ω ∫ Φ Ω Φ
train_00168,∇ Φ ∇ ∫ ∇ Φ ∫ ∇ Ξ ∂ ∫ Φ ∫ ∂
train_00169,Ω Ω ∂ ∇ Ξ Φ Φ ∫ ∂ Φ Ω Ω Ξ ∂
train_00170,Φ Ξ ∂ ∇ Φ ∂ ∫ ∫ ∫ Ξ
train_00171,Ξ ∇ Φ ∂ ∫ ∂
train_00172,Φ ∫ Ω ∂ ∂ ∂ Ω Ω Ξ Ξ Ω ∇ ∇
train_00173,Ω ∫ Ω ∂ ∂ Ξ ∂ ∂ Φ Ω ∫
train_00174,∫ Φ Φ Ξ ∫ Ξ ∇ Φ Ξ ∂ Φ Ξ ∇ Φ
train_00175,Ω Φ Φ ∂ ∂ Ξ ∂ Ω ∫ ∇
train_00176,Ξ ∫ Ξ Ξ ∇ ∇ Ω Ξ Ω Ξ ∂
train_00177,∫ ∫ Ω Ξ ∫ Ξ Φ ∫ Φ
train_00178,Ω ∂ ∂ ∂ ∂ ∫ Φ ∂ ∫ ∂ ∇ ∂
train_00179,Φ ∇ Ξ Ξ Φ Φ Φ Ξ ∫
train_00180,∫ Ω ∂ ∫ Ω ∫
train_00181,∇ ∫ Ω Ω ∫ ∇ ∇ ∫
train_00182,∫ Ω ∂ ∇ Ω Ξ
train_00183,∇ ∫ ∇ Ξ ∂ Φ
train_00184,Φ Ω ∇ ∂ ∇ Ξ ∇
train_00185,Φ ∇ ∇ Ξ Ξ ∫ ∇ Φ
train_00186,Φ ∂ Φ Φ Ξ Φ ∇
train_00187,∇ Ω Ω Ξ ∇ ∂ Ω ∂ ∇
train_00188,∫ ∂ Ξ ∫ ∫ ∇ ∂
train_00189,∇ ∂ Ω ∇ Ξ
train_00190,∂ Ω ∫ Ξ Ω Φ Ξ ∇
train_00191,Φ Ξ Ω Ω Ξ Ω Ω Φ ∫ ∫ Φ ∇
train_00192,Ω Ξ ∂ Ξ Φ ∇ ∂ Ξ Ω Ω ∂
train_00193,Ω Ξ ∇ ∂ Φ Φ Ω Ω Ξ
train_00194,∇ Φ Ω Ω Ω ∇ Φ Ξ ∫
train_00195,∂ ∫ Φ Ω Ω Ω Φ
train_00196,Ξ Ξ Ω Ξ ∂ ∂
train_00197,Ξ ∇ ∫ ∫ ∫ ∇ Ξ Φ
train_00198,∫ ∂ Ξ ∂ ∇
train_00199,∇ Ω Ξ Ω ∂ Φ ∫ ∫ ∂ ∫ ∫ Ω Φ ∂
train_00200,∂ ∂ Φ Φ ∫ ∂ Φ Φ ∫ ∂ Ξ
train_00201,Ω ∂ ∇ ∇ Ξ Φ Ξ ∫ Ξ
train_00202,Φ ∫ Φ Φ ∫ Ξ
train_00203,Ω Φ Φ ∇ Ω Φ Φ Ω Φ ∇
train_00204,∇ ∫ Ξ ∇ Φ ∇ Ξ ∇ ∇ ∇ Φ
train_00205,Ω Φ Ξ Ω Ω Ξ Φ ∇ ∂ ∫ ∫
train_00206,Ω Φ Φ ∇ ∫ ∫ Ξ Φ ∫ Ω
train_00207,∇ ∇ Ω Ω ∫
train_00208,Ξ ∫ Ξ ∇ ∫ Ω Ω Ξ
train_00209,∫ Ω ∂ ∫ Ξ ∂ ∫ ∂ ∇ ∇ Ω
train_00210,∇ Ω ∫ ∫ Ξ ∫ ∇ Ω
train_00211,∫ Φ Ξ ∫ Ξ Ω
train_00212,∇ ∇ ∇ Φ Ω Ω
train_00213,∂ Ω ∇ Ξ ∂ ∫ Ξ ∇ ∂ ∂ Ξ
train_00214,Φ ∂ ∫ Ξ ∂ ∫ Ω ∂
train_00215,∫ ∇ Φ ∫ ∫ Ω Φ
train_00216,Ξ Φ Ω Φ ∫ ∫ ∇
train_00217,Ω Ω ∇ Φ ∇ Ξ Ξ Ξ ∇ ∫ ∂ Ω ∂
train_00218,∇ Φ Ω Φ ∇ ∂ ∫
train_00219,Ξ ∇ ∂ ∂ ∫ ∇ Ω Φ Ξ ∇ ∂
train_00220,∇ Φ ∫ ∇ ∫ Ξ Ω Ξ ∂
train_00221,Ξ Ω ∂ Ω ∇
train_00222,Ω Φ Ω Ω Ω Φ ∇ ∫ Ω
train_00223,Ω Φ Ξ Φ Φ ∇ ∫ ∇ Ξ ∫
train_00224,∫ ∫ ∫ ∫ Ω ∇ ∂ Ξ Ω
train_00225,∫ ∫ ∇ Ξ Ξ ∇
train_00226,Ξ Ω Ξ ∇ Φ ∇ ∇ ∫ Ξ ∫
train_00227,∇ Ω Ω Φ ∇ Φ Φ
train_00228,∂ ∇ ∂ ∫ Ξ Ω Ω
train_00229,∂ Ω Ξ ∫ Ω Ω ∇ Ω ∫ Ξ Ω ∂
train_00230,∇ ∇ Ω ∂ Ξ ∫ Ξ ∫ Φ ∂
train_00231,Ξ ∫ Ω Ξ ∂ Φ ∂ Ξ ∂ Ω ∂ ∫
train_00232,Ω Ξ ∂ ∫ ∫ ∇ Φ Ξ Ω ∇ ∂
train_00233,∇ ∇ ∫ Ω Ξ
train_00234,Ξ ∂ ∫ ∫ ∂ ∇ ∫ Ω ∂
train_00235,∇ Ξ ∂ Ξ Ω ∇ ∫
train_00236,∂ ∂ Ω ∇ ∫ Ξ ∂ ∇
train_00237,Φ ∫ Ξ Φ ∂ ∂ ∂ ∇ Ξ ∂
